yyyymm,index,d12,e12,bm,tbl,aaa,baa,lty,ntis,rfree,infl,ltr,corpr,svar,csp,crsp_spvw,crsp_spvwx,date,first_diff,og_var,log_index,log_var,log_return,dp,logret,logindex,dp_lag1,dp_lag2,dp_lag3,dp_lag4,svar_lag1,svar_lag2,svar_lag3,svar_lag4,bm_lag1,bm_lag2,bm_lag3,bm_lag4,logret_lag1,logret_lag2,logret_lag3,logret_lag4
192711,17.33,0.7633,1.121,0.3793955905,0.0304,0.0449,0.0535,0.032,0.0822671859,0.0021,-0.0057471264,0.0097,0.0068,0.0009296591,,0.070546,0.06427,1927-11-01,1.0999999999999979,13.496235517241391,2.8524391037275145,0.04197642150082026,0.06557772220101477,-3.122543243905227,0.06557772220101477,2.8524391037275145,-3.065649786808161,-3.1290969856214144,-3.0957644793000663,-3.0611442423635555,0.0015593375,0.0011233495,0.0012764139,0.0004257798,0.4138006933,0.380586062,0.3962274092,0.414553473,-0.05455353164313381,0.04230598112045669,0.043539214978990604,0.06297162052689798
192712,17.66,0.77,1.11,0.3746885899,0.0317,0.0446,0.0532,0.0316,0.0764711093,0.0022,0.0,0.0072,0.0068,0.0006042041,,0.019295,0.014403,1927-12-01,0.33000000000000185,14.986278160919555,2.8713021951758138,0.044748351232694945,0.01886309144829923,-3.1326669593102214,0.01886309144829923,2.8713021951758138,-3.122543243905227,-3.065649786808161,-3.1290969856214144,-3.0957644793000663,0.0009296591,0.0015593375,0.0011233495,0.0012764139,0.3793955905,0.4138006933,0.380586062,0.3962274092,0.06557772220101477,-0.05455353164313381,0.04230598112045669,0.043539214978990604
192801,17.57,0.7767,1.133,0.3786696208,0.0331,0.0446,0.0535,0.0321,0.0626014543,0.0025,0.0,-0.0036,0.0027,0.0008605259,,-0.007182,-0.0092,1928-01-01,-0.08999999999999986,16.19049436781611,2.866192902199006,0.0468942314233661,-0.005109292976807733,-3.1188940057555414,-0.005109292976807733,2.866192902199006,-3.1326669593102214,-3.122543243905227,-3.065649786808161,-3.1290969856214144,0.0006042041,0.0009296591,0.0015593375,0.0011233495,0.3746885899,0.3793955905,0.4138006933,0.380586062,0.01886309144829923,0.06557772220101477,-0.05455353164313381,0.04230598112045669
192802,17.26,0.7833,1.155,0.3860765992,0.0333,0.0446,0.0533,0.0318,0.0551726339,0.0033,-0.0115606936,0.0061,0.0068,0.0006911239,,-0.012549,-0.016679,1928-02-01,-0.3099999999999987,17.098886091954043,2.848391685655282,0.04775522453602576,-0.01780121654372424,-3.092631200264226,-0.01780121654372424,2.848391685655282,-3.1188940057555414,-3.1326669593102214,-3.122543243905227,-3.065649786808161,0.0008605259,0.0006042041,0.0009296591,0.0015593375,0.3786696208,0.3746885899,0.3793955905,0.4138006933,-0.005109292976807733,0.01886309144829923,0.06557772220101477,-0.05455353164313381
192803,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.0543639372,0.0029,0.0,0.0045,0.0041,0.0013810077,,0.105752,0.101652,1928-03-01,1.8699999999999974,17.256474137931058,2.9512577834521614,0.04711703077153301,0.10286609779687961,-3.1869801169732312,0.10286609779687961,2.9512577834521614,-3.092631200264226,-3.1188940057555414,-3.1326669593102214,-3.122543243905227,0.0006911239,0.0008605259,0.0006042041,0.0009296591,0.3860765992,0.3786696208,0.3746885899,0.3793955905,-0.01780121654372424,-0.005109292976807733,0.01886309144829923,0.06557772220101477
192804,19.75,0.7967,1.2,0.3680952606,0.0362,0.0446,0.0533,0.0319,0.0493720638,0.0022,0.0,-0.0004,0.0014,0.0014879603,,0.034725,0.032715,1928-04-01,0.620000000000001,18.498452413793135,2.9831534913471307,0.04831843366541378,0.031895707894969316,-3.2104305739429475,0.031895707894969316,2.9831534913471307,-3.1869801169732312,-3.092631200264226,-3.1188940057555414,-3.1326669593102214,0.0013810077,0.0006911239,0.0008605259,0.0006042041,0.363254838,0.3860765992,0.3786696208,0.3746885899,0.10286609779687961,-0.01780121654372424,-0.005109292976807733,0.01886309144829923
192805,20.0,0.8033,1.222,0.3543969792,0.039,0.0449,0.0542,0.0327,0.0471873758,0.0032,0.0058479532,-0.0077,-0.0078,0.0018988588,,0.012325,0.007422,1928-05-01,0.25,19.86858678160923,2.995732273553991,0.04891978435864528,0.01257878220686015,-3.214759309356361,0.01257878220686015,2.995732273553991,-3.2104305739429475,-3.1869801169732312,-3.092631200264226,-3.1188940057555414,0.0014879603,0.0013810077,0.0006911239,0.0008605259,0.3680952606,0.363254838,0.3860765992,0.3786696208,0.031895707894969316,0.10286609779687961,-0.01780121654372424,-0.005109292976807733
192806,19.19,0.81,1.245,0.3702999477,0.0392,0.0457,0.0555,0.0326,0.0502987889,0.0031,-0.0058139535,0.0041,-0.0024,0.0036454766,,-0.03433,-0.038725,1928-06-01,-0.8099999999999987,22.874238620689702,2.9543893100196086,0.0520261976611895,-0.04134296353438227,-3.1651103413352613,-0.04134296353438227,2.9543893100196086,-3.214759309356361,-3.2104305739429475,-3.1869801169732312,-3.092631200264226,0.0018988588,0.0014879603,0.0013810077,0.0006911239,0.3543969792,0.3680952606,0.363254838,0.3860765992,0.01257878220686015,0.031895707894969316,0.10286609779687961,-0.01780121654372424
192807,19.43,0.8167,1.268,0.3606481481,0.0412,0.0461,0.0558,0.0344,0.0593803298,0.0032,0.0,-0.0217,-0.001,0.0016749799,,0.010117,0.008278,1928-07-01,0.23999999999999844,24.15081206896557,2.9668182633893485,0.05233627292366151,0.012428953369739926,-3.1693017120072557,0.012428953369739926,2.9668182633893485,-3.1651103413352613,-3.214759309356361,-3.2104305739429475,-3.1869801169732312,0.0036454766,0.0018988588,0.0014879603,0.0013810077,0.3702999477,0.3543969792,0.3680952606,0.363254838,-0.04134296353438227,0.01257878220686015,0.031895707894969316,0.10286609779687961
192808,20.87,0.8233,1.29,0.3240297825,0.0436,0.0464,0.0561,0.0341,0.0573989063,0.0032,0.0,0.0076,0.0083,0.0012293169,,0.07023,0.065514,1928-08-01,1.4400000000000013,22.649452988505807,3.038312721089109,0.04797853771345105,0.0714944576997607,-3.232747345766866,0.0714944576997607,3.038312721089109,-3.1693017120072557,-3.1651103413352613,-3.214759309356361,-3.2104305739429475,0.0016749799,0.0036454766,0.0018988588,0.0014879603,0.3606481481,0.3702999477,0.3543969792,0.3680952606,0.012428953369739926,-0.04134296353438227,0.01257878220686015,0.031895707894969316
192809,21.37,0.83,1.312,0.3281658101,0.0457,0.0461,0.0559,0.0346,0.0279800569,0.0027,0.0116959064,-0.0041,0.003,0.0006504642,,0.022409,0.019937,1928-09-01,0.5,21.118837241379374,3.0619880693310564,0.043788740345885625,0.02367534824194717,-3.24831764752255,0.02367534824194717,3.0619880693310564,-3.232747345766866,-3.1693017120072557,-3.1651103413352613,-3.214759309356361,0.0012293169,0.0016749799,0.0036454766,0.0018988588,0.3240297825,0.3606481481,0.3702999477,0.3543969792,0.0714944576997607,0.012428953369739926,-0.04134296353438227,0.01257878220686015
192810,21.68,0.8367,1.335,0.3089308376,0.047,0.0461,0.0558,0.0336,0.0340193716,0.0041,-0.0057803468,0.0158,0.0083,0.0006788455,,0.013839,0.012055,1928-10-01,0.3099999999999987,19.409985747126505,3.0763901765714454,0.03906796301957744,0.01440210724038904,-3.2546798722520296,0.01440210724038904,3.0763901765714454,-3.24831764752255,-3.232747345766866,-3.1693017120072557,-3.1651103413352613,0.0006504642,0.0012293169,0.0016749799,0.0036454766,0.3281658101,0.3240297825,0.3606481481,0.3702999477,0.02367534824194717,0.0714944576997607,0.012428953369739926,-0.04134296353438227
192811,24.28,0.8433,1.357,0.2655259391,0.0426,0.0458,0.0555,0.0338,0.0383720096,0.0038,0.0,0.0003,-0.0036,0.0015232957,,0.122975,0.116704,1928-11-01,2.6000000000000014,18.052355862069035,3.1896529661912973,0.03563999396308792,0.11326278961985192,-3.3600854785928385,0.11326278961985192,3.1896529661912973,-3.2546798722520296,-3.24831764752255,-3.232747345766866,-3.1693017120072557,0.0006788455,0.0006504642,0.0012293169,0.0016749799,0.3089308376,0.3281658101,0.3240297825,0.3606481481,0.01440210724038904,0.02367534824194717,0.0714944576997607,0.012428953369739926
192812,24.35,0.85,1.38,0.2596666667,0.0426,0.0461,0.056,0.034,0.0630687383,0.0006,-0.0058139535,0.0004,0.0084,0.00407747,,0.006232,0.002888,1928-12-01,0.07000000000000028,16.906673678160992,3.192531849528599,0.03290863281296445,0.0028788833373014633,-3.355050779026374,0.0028788833373014633,3.192531849528599,-3.3600854785928385,-3.2546798722520296,-3.24831764752255,-3.232747345766866,0.0015232957,0.0006788455,0.0006504642,0.0012293169,0.2655259391,0.3089308376,0.3281658101,0.3240297825,0.11326278961985192,0.01440210724038904,0.02367534824194717,0.0714944576997607
192901,25.74,0.86,1.399,0.2453466033,0.0466,0.0462,0.0563,0.0349,0.0784486564,0.0034,0.0,-0.009,0.0043,0.0017008226,,0.055473,0.053892,1929-01-01,1.389999999999997,16.141064482758697,3.2480462021679806,0.031158393151538934,0.05551435263938176,-3.398869091902564,0.05551435263938176,3.2480462021679806,-3.355050779026374,-3.3600854785928385,-3.2546798722520296,-3.24831764752255,0.00407747,0.0015232957,0.0006788455,0.0006504642,0.2596666667,0.2655259391,0.3089308376,0.3281658101,0.0028788833373014633,0.11326278961985192,0.01440210724038904,0.02367534824194717
